State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years
Chandigarh,Chandigarh ,Sector-36,NH-5,In front of ISBT- Sec.43,2,2,3,2,1,6,2,2,1,5
Chandigarh,Chandigarh ,Sector-39,NH-5,Badheri Chowk,4.2,4.7,3,1,2,6,1,1,2,4
Chhattishgarh,Balrampur,Balrampur,NH 343,Daldhova,73.8,74.3,1,1,0,2,18,1,0,19
Chhattishgarh,RAIPUR,AMANAKA,NH 53,TATIBANDH CHOWK SE SARONA OVERBRIZE TAK ,9.8,10.3,5,4,2,11,5,4,8,17
Chhattishgarh,Sarguja,Ambikapur,NH 130,Mendrakalra,210.6,211.1,4,5,5,14,4,5,4,13
Chhattishgarh,RAIPUR,RAJENDRA,NH 53,PACHPEDINAKA ,0.8,0.9,5,5,2,12,5,5,2,12
Chhattishgarh,Mahasamund,Sankara,NH-53,Sankara,156.02,156.08,2,6,1,9,3,8,1,12
Chhattishgarh,Rajnandgaon,Lalbag,NH 53,Pendri,346,346.4,4,7,3,14,2,7,3,12
Chhattishgarh,Bilaspur,Ratanpur,NH 111,Khandoba Sanjhipara Bypass,21,21.5,21,2,8,31,7,3,2,12
Chhattishgarh,Bilaspur,Sirgitti,NH 130,Tifara Overbridge,5,5.5,9,0,4,13,5,4,2,11
Chhattishgarh,Sarguja,Ambikapur,NH 130,Sandbar,218,218.5,6,4,3,13,5,4,2,11
Chhattishgarh,Durg,Old Bhilai,NH-53,Charoda,302.5,303,4,3,2,9,5,3,2,10
Goa,North Goa,Old Goa,NH  748,"Malik Petrol Pump, Corlim (500 mtrs)","Railway Bridge, Corlim (250 Mtrs)","Cross Mollar, Corlim (250 Mtrs)",3,3,1,7,3,7,1,11
Goa,North Goa,Agacaim,NH  66,Agacaim Bypass road (500 Mtrs),Toll Naka (250 Mtrs),Edward Barand rest (250 Mtrs),7,0,1,8,8,0,1,9
Goa,North Goa,Porvorim,NH  66,Damian De Goa to Tisk Porvorim (500 Mtrs),Damian De Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,1,10,3,5,1,9
Goa,South Goa,Collem,NH 66,Anmod Ghat (12 km),Nandran     (6 km),Goa Border (6 km),4,7,1,12,3,4,2,9
Goa,North Goa,Porvorim,NH 66,Old Porvorim Bazar (500 Mtrs),Damiandi Goa (250 Mtrs),Tisk Porvorim (250 Mtrs),3,6,NA,9,3,5,NA,8
Goa,North Goa,Pernem,NH 66,Naibag Slope (500 Mtrs),Panjabi Dhaba (250 Mtrs),Naibag Junction (250 Mtrs),1,5,NA,6,1,6,NA,7
Goa,North Goa,Porvorim,NH  66,Holy Family Church to Wadakadem (500 Mtrs),Holy Family Church(250 Mtrs),Wadakadem Porvorim (250 Mtrs),3,3,2,8,3,2,1,6
