S. No.,Name of State Road Transport Undertaking (SRTU),Traffic Revenue (Lakh) - Revenue from Passengers - 2018-19,Traffic Revenue (Lakh) - Revenue from Passengers - 2017-18,Traffic Revenue (Lakh) - Revenue from Passengers - 2016-17,Traffic Revenue (Lakh) - Others - 2018-19,Traffic Revenue (Lakh) - Others - 2017-18,Traffic Revenue (Lakh) - Others - 2016-17,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2018-19,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2017-18,Traffic Revenue (Lakh) - Total of Traffic Earnings - 2016-17,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2018-19,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2017-18,Non-Traffic Revenue (Lakh) - Income from Advertisements - 2016-17,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2018-19,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2017-18,Non-Traffic Revenue (Lakh) - Sale Proceeds from scraps - 2016-17,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2018-19,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2017-18,Non-Traffic Revenue (Lakh) - Receipt from imposition of penalities/fines - 2016-17,Non-Traffic Revenue (Lakh) - Other Receipts - 2018-19,Non-Traffic Revenue (Lakh) - Other Receipts - 2017-18,Non-Traffic Revenue (Lakh) - Other Receipts - 2016-17,Total Non-Traffic Revenue(Lakhs) - 2018-19,Total Non-Traffic Revenue(Lakhs) - 2017-18,Total Non-Traffic Revenue(Lakhs) - 2016-17,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2018-19,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2017-18,Subsidies/ Reimbursements (Lakh) - Subsidies as reimbursement of fare concessions provided to passenger by SRTU - 2016-17,"Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2018-19","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2017-18","Subsidies/ Reimbursements (Lakh) - Any other form of subsidies (not as capital receipts) received from state government, treated as income - 2016-17",Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2018-19,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2017-18,Subsidies/ Reimbursements (Lakh) - Total Subsidies/Reimbursements - 2016-17,Total Reveunue (in lakh) - 2018-19,Total Reveunue (in lakh) - 2017-18,Total Reveunue (in lakh) - 2016-17,Staff Costs (Rs. Lakh) - 2018-19,Staff Costs (Rs. Lakh) - 2017-18,Staff Costs (Rs. Lakh) - 2016-17,Fuel and Lubricants Cost (Rs. Lakh) - 2018-19,Fuel and Lubricants Cost (Rs. Lakh) - 2017-18,Fuel and Lubricants Cost (Rs. Lakh) - 2016-17, Cost of Tyers and Tubes  (Rs. Lakh) - 2018-19, Cost of Tyers and Tubes  (Rs. Lakh) - 2017-18, Cost of Tyers and Tubes  (Rs. Lakh) - 2016-17,Cost of Spares (Rs. Lakh) - 2018-19,Cost of Spares (Rs. Lakh) - 2017-18,Cost of Spares (Rs. Lakh) - 2016-17,Interest (Rs. Lakh) - 2018-19,Interest (Rs. Lakh) - 2017-18,Interest (Rs. Lakh) - 2016-17,Depreciation (Rs. Lakh) - 2018-19,Depreciation (Rs. Lakh) - 2017-18,Depreciation (Rs. Lakh) - 2016-17,Payments to Hired Buses(Rs.  Lakh) - 2018-19,Payments to Hired Buses(Rs.  Lakh) - 2017-18,Payments to Hired Buses(Rs.  Lakh) - 2016-17,Payment for accidents compensation (In lakh) - 2018-19,Payment for accidents compensation (In lakh) - 2017-18,Payment for accidents compensation (In lakh) - 2016-17,Other Cost (Rs. Lakh) - 2018-19,Other Cost (Rs. Lakh) - 2017-18,Other Cost (Rs. Lakh) - 2016-17,Taxes (Rs. Lakh) - M.V. Tax - 2018-19,Taxes (Rs. Lakh) - M.V. Tax - 2017-18,Taxes (Rs. Lakh) - M.V. Tax - 2016-17,Taxes (Rs. Lakh) - Passenger Taxes - 2018-19,Taxes (Rs. Lakh) - Passenger Taxes - 2017-18,Taxes (Rs. Lakh) - Passenger Taxes - 2016-17,Taxes (Rs. Lakh) - GST - 2018-19,Taxes (Rs. Lakh) - GST - 2017-18,Taxes (Rs. Lakh) - GST - 2016-17,Taxes (Rs. Lakh) - Other Taxes - 2018-19,Taxes (Rs. Lakh) - Other Taxes - 2017-18,Taxes (Rs. Lakh) - Other Taxes - 2016-17,Taxes (Rs. Lakh) - Total Taxes - 2018-19,Taxes (Rs. Lakh) - Total Taxes - 2017-18,Taxes (Rs. Lakh) - Total Taxes - 2016-17,Other Cost(Misc)(Rs. Lakh) - 2018-19,Other Cost(Misc)(Rs. Lakh) - 2017-18,Other Cost(Misc)(Rs. Lakh) - 2016-17,Total Cost (In lakh) - 2018-19,Total Cost (In lakh) - 2017-18,Total Cost (In lakh) - 2016-17
48,Pune Mahamandal ,54527.34,58526.38,57677.91,873.74,1160.21,1363.26,55401.08,59686.59,59041.17,825.49,976.81,983.44,361.19,151.33,155.92,286.91,3856.12,2215.22,5022.58,1190.32,9697.31,6496.17,6174.58,13051.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61897.25,65861.17,72093.06,45678.18,43878.60,50194.00,14947.77,11622.03,9090.75,2408.36,2951.44,2376.46,0.00,0.00,0.00,95.34,505.03,412.43,2144.70,933.25,1189.38,16796.06,22021.61,26007.16,234.70,528.28,214.67,3246.66,2793.86,3286.12,51.59,49.84,65.81,23.00,19.25,20.43,838.84,859.48,91.70,109.13,146.59,164.61,1022.56,1075.16,342.55,27.59,14.06,23.99,86601.92,86323.32,93137.51
49,Sholapur MT,733.05,781.65,1592.99,NA,NA,NA,733.05,781.65,1592.99,15.69,7.34,14.06,42.38,2.34,27.00,0.36,0.51,1.50,186.14,191.89,255.61,244.57,202.08,298.17,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,977.62,983.73,1891.16,1649.85,1151.31,1515.97,1125.90,194.64,1009.22,12.60,30.47,48.37,87.91,29.70,102.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,22.87,10.14,201.95,273.14,1163.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.86,3.96,34.20,16.86,3.96,34.20,NA,NA,NA,3097.95,1706.09,3884.33
50,Thane MT,9458.69,9469.61,7805.91,NA,NA,NA,9458.69,9469.61,7805.91,NA,NA,NA,391.31,884.47,296.62,NA,NA,NA,NA,NA,NA,391.31,884.47,296.62,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,9850.00,10354.08,8102.53,9319.24,7740.31,8138.29,2066.58,1669.64,2548.17,384.14,8.52,86.74,545.54,540.68,638.94,NA,NA,NA,NA,NA,786.48,8512.16,6153.96,1168.27,187.94,NA,NA,110.21,101.30,7.54,21.71,13.90,13.86,NA,NA,400.25,NA,NA,NA,169.05,64.53,317.46,190.76,78.43,731.57,265.93,19990.69,166.71,21582.50,36283.53,14272.71
51,Kalyan Dombivali MT,1505.58,1884.88,2135.82,30.56,64.17,39.73,1536.14,1949.05,2175.55,86.25,15.00,34.67,0.00,0.00,0.00,22.87,10.99,103.09,35.51,49.17,5.06,144.63,75.16,142.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1680.77,2024.21,2318.37,2047.63,1921.83,1888.15,1000.33,1361.96,1496.68,48.41,48.15,41.11,339.17,216.35,320.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.51,0.00,0.00,0.00,1114.41,1148.44,1096.24,118.26,145.80,133.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.26,145.80,133.63,0.00,0.00,0.18,4668.21,4842.53,5074.15
NA,Total Muncipal undertakings,188944.32,206204.41,217229.61,2311.61,2642.82,2913.90,191255.93,208847.23,220143.51,8918.68,7644.37,7699.58,1274.57,1948.88,1034.11,414.38,3929.92,2378.19,12379.17,1568.44,15350.25,22986.80,15091.61,26462.13,0.00,0.00,0.00,1325.02,1413.92,1271.17,1325.02,1413.92,1271.17,215567.75,225352.76,247876.81,230431.44,236658.61,247018.25,62478.98,56732.74,58063.85,4046.73,4254.21,4433.07,6900.55,7688.64,11263.46,12103.75,10664.91,10637.93,8312.68,9822.01,11304.03,51712.69,50644.59,49180.52,425.52,551.15,224.81,6414.08,5775.40,6707.96,480.26,523.89,545.29,1087.56,105.56,1933.94,937.80,907.34,91.70,3657.06,588.03,973.78,6162.68,2124.82,3544.71,11650.74,29251.83,10620.12,400639.84,414168.91,412998.71
52,DELHI INTEGRATED MTS,30979.00,29226.00,25295.00,3327.00,3893.00,2542.00,34306.00,33119.00,27837.00,NA,NA,444.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,444.00,3555.00,2982.00,2609.00,NA,NA,NA,3555.00,2982.00,2609.00,37861.00,36101.00,30890.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,0.00,73063.00,66731.00,53011.00,73063.00,66731.00,53011.00
NA,Total Associate members,30979.00,29226.00,25295.00,3327.00,3893.00,2542.00,34306.00,33119.00,27837.00,0.00,0.00,444.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,444.00,3555.00,2982.00,2609.00,0.00,0.00,0.00,3555.00,2982.00,2609.00,37861.00,36101.00,30890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73063.00,66731.00,53011.00,73063.00,66731.00,53011.00
53,Agra-Mathura City TSL,2224.49,1890.00,1739.95,NA,NA,NA,2224.49,1890.00,1739.95,40.39,38.25,66.55,NA,NA,NA,1.27,0.82,4.45,11.13,3.16,0.11,52.79,42.23,71.11,NA,NA,NA,531.87,335.16,521.50,531.87,335.16,521.50,2809.15,2267.39,2332.56,587.61,519.37,466.22,1205.84,1071.51,1019.36,NA,NA,NA,714.16,555.89,511.24,NA,NA,NA,77.93,102.08,173.91,NA,NA,NA,25.00,83.49,56.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.66,0.00,109.55,74.04,33.35,109.74,74.70,33.35,89.61,94.58,80.45,2809.89,2501.62,2341.17
54,Jaipur City TS Ltd.,6812.66,5085.81,5926.08,740.39,673.62,538.60,7553.05,5759.43,6464.68,409.02,358.07,245.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,409.02,358.07,245.27,NA,NA,NA,2341.65,1935.94,521.50,2341.65,1935.94,521.50,10303.72,8053.44,7231.45,2514.42,2866.19,2184.56,4524.55,3137.26,3369.54,369.96,681.85,826.76,NA,NA,NA,NA,NA,NA,328.35,352.49,498.47,2544.63,2725.68,2631.06,NA,NA,NA,1536.56,1040.54,1713.50,179.27,77.43,74.63,NA,NA,NA,478.92,170.42,0.00,0.00,0.00,0.00,658.19,247.85,74.63,NA,NA,NA,12476.66,11051.86,11298.52
55,MEERUT CITY TSL,1771.15,1721.48,2034.89,NA,NA,NA,1771.15,1721.48,2034.89,14.90,13.10,13.30,3.56,0.00,0.00,0.00,0.00,0.00,30.97,64.41,68.22,49.43,77.50,81.52,885.81,394.73,196.50,2705.39,2194.71,2312.91,3591.20,2589.44,2509.41,5411.79,4388.42,4625.82,441.04,450.21,551.36,1185.86,1023.45,999.00,0.00,0.00,0.00,0.40,0.00,4.49,0.00,0.00,0.00,173.34,997.66,137.00,0.00,0.00,0.00,0.00,45.76,118.53,568.89,472.22,629.70,10.87,31.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.07,0.00,60.31,21.94,31.92,60.31,0.00,0.00,0.00,2391.47,3021.22,2500.39
56,KANPUR CITY TSL,1595.45,1545.66,1311.44,NA,NA,NA,1595.45,1545.66,1311.44,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.90,0.00,0.00,32.12,0.00,0.00,NA,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.00,1627.57,1545.66,1311.44,232.03,180.47,182.44,1021.49,914.84,769.76,0.00,22.12,81.74,1664.72,1518.09,1343.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.19,0.50,8.48,34.38,12.42,30.20,89.34,34.18,26.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.34,34.18,26.53,0.00,0.00,0.00,3055.15,2682.62,2442.17
NA,Total Special Purpose Vehicle,12403.75,10242.95,11012.36,740.39,673.62,538.60,13144.14,10916.57,11550.96,464.53,409.42,325.12,3.56,0.00,0.00,1.27,0.82,4.45,74.00,67.57,68.33,543.36,477.80,397.90,885.81,394.73,196.50,5578.91,4465.81,3355.91,6464.72,4860.54,3552.41,20152.23,16254.91,15501.27,3775.10,4016.24,3384.58,7937.74,6147.06,6157.66,369.96,703.97,908.50,2379.28,2073.98,1858.75,0.00,0.00,0.00,579.62,1452.23,809.38,2544.63,2725.68,2631.06,38.19,129.75,183.65,2139.83,1525.18,2373.40,279.48,143.53,101.16,0.00,0.00,0.00,479.11,171.08,0.00,120.62,74.04,93.66,879.21,388.65,194.82,89.61,94.58,80.45,20733.17,19257.32,18582.25
NA,Total (Reporting SRTUs),4944799.58,4643488.07,4435018.60,99344.69,87046.05,82960.31,5044144.27,4730534.12,4517978.91,25234.90,21370.36,22247.87,23810.28,26067.88,17609.41,11880.59,14376.97,12406.52,255640.99,211315.74,200918.30,316566.76,273130.94,253182.10,693539.56,587465.06,552935.44,401185.87,345391.31,266153.42,1094725.43,932856.37,819088.86,6455436.47,5936521.43,5590249.87,3504138.19,3588045.45,3221707.23,2163083.05,1906084.33,1813845.64,89722.67,83905.70,88848.97,130099.77,126190.60,128187.24,750147.39,714663.30,613161.51,250115.51,233678.49,233605.72,338683.84,311901.02,276923.01,105240.02,84791.76,89302.44,245635.76,257261.28,234725.58,142181.45,137910.66,130475.03,167725.29,163543.36,160532.21,9198.65,7315.98,2947.85,106366.04,105972.65,99013.36,425471.43,414742.65,392968.44,245491.27,246216.58,213834.18,8247828.90,7967481.16,7307109.97
