S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2016-17,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2018-19,Average Age of Fleet (Years) - 2016-17,Average Age of Fleet (Years) - 2017-18,Average Age of Fleet (Years) - 2018-19,Staff Strength (Number) - 2016-17,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2018-19,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2016-17,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2017-18,Fuel Efficiency (Km/litre of HSD) or (KM/KG of CNG) - 2018-19,Passenger Kms Performed (Lakhs) - 2016-17,Passenger Kms Performed (Lakhs) - 2017-18,Passenger Kms Performed (Lakhs) - 2018-19,Passenger Carried (Lakhs) - 2016-17,Passenger Carried (Lakhs) - 2017-18,Passenger Carried (Lakhs) - 2018-19
11,Maharashtra SRTC,18710,18652,18796,5.50,6.30,7.10,103043,101196,101879,4.77,4.72,4.57,615701.00,624445.00,610514.00,24438,24446.25,24078.48
12,Meghalaya STC,52,61,62,7.21,7.00,8.00,260,251,221,5.40,5.12,5.01,457.27,409.09,440.78,4,2.17,2.52
13,North Bengal STC,805,868,905,6.29,6.48,6.48,3709,3226,3300,4.25,4.13,4.26,18655.12,19930.76,22964.26,0,0.00,0.00
14,North Eastern Karnataka RTC,4384.84,4501.1,4788.9,5.64,4.91,4.63,20577,20218,20574,5.17,5.20,5.25,158522.46,169419.03,182143.42,4928,4934.80,4945.75
15,North Western Karnataka RTC,4801.9,4999.4,4990.1,6.60,6.59,7.31,24321,23707,23665,5.18,5.16,5.12,174741.00,184318.00,193067.00,8256,8212.50,8205.20
16,Odisha SRTC,455,443,441,9.00,4.82,5.12,1651,1582,1538,4.72,4.74,4.81,17663.88,12154.49,12201.57,71,70.89,71.70
17,Pepsu RTC,1067,1142,1138,8.00,8.00,8.00,3658,4149,4247,4.65,4.68,4.69,1300.00,1300.00,1300.00,0,0.28,0.28
18,Rajasthan SRTC,4635,5444,5295,5.26,5.43,6.31,17844,16565,15279,5.06,5.10,5.03,284702.25,303055.69,266449.26,3185,3420.77,3106.89
19,South Bengal STC,721,796,898,5.43,5.65,6.24,2042,2316,2793,4.29,4.02,4.59,18234.53,21356.50,26304.75,148,172.00,214.00
20,Telangana SRTC,10415,10558,10481,7.44,6.90,7.66,54117,52507,50656,NA,NA,NA,432217.97,456223.67,474111.04,31894,34291.75,35605.75
21,Tripura RTC,16,14,10,NA,NA,NA,0,0,0,NA,NA,NA,0.00,0.00,0.00,0,0.00,0.00
22,Uttar Pradesh SRTC (P),10780,12143,11880,4.53,5.43,5.70,23487,22633,21156,5.24,5.25,5.23,445728.00,483664.00,472042.00,5646,6257.93,6015.69
23,Uttarakhand  TC,1242,1297,1338,6.50,6.50,7.50,4506,4339,3450,4.76,4.85,NA,1396.65,1552.42,1438.26,368,405.54,377.83
24,West Bengal Transport Corp.,831,1153,1187,5.77,3.73,4.57,4647,4361,4018,2.04,1.97,1.94,8272.00,8249.00,8898.00,986,947.00,1023.00
NA,TOTAL Corporations,108593.74,111371.9,112706.1,6.78,6.43,6.96,517482,505795,493682,4.53,4.50,4.51,4084887.56,4278766.01,4314977.21,161656,163720.11,161889.00
25,Kadamba TC Ltd.,530,520,548,5.16,5.61,4.19,2023,2077,2153,4.13,4.10,4.07,9386.34,10620.32,11627.98,342,354.01,387.60
26,Metro TC (Chennai) Limited,4002,3848,3688,7.08,7.96,8.67,24326,23688,22962,4.50,4.50,4.51,189176.00,165039.00,135246.00,17184,15186.00,12980.00
27,PUNBUS,1218,1258,1395,7.00,7.00,7.00,4108,4098,3850,4.54,4.62,4.60,1361.45,1481.90,1533.00,1500,1551.25,1642.50
28,State Exp.TC TN Ltd.,1184,1167,1149,5.03,6.02,6.03,6349,5910,5495,5.24,5.23,5.17,81315.46,76844.09,61405.19,273,265.22,229.14
29,TN STC (Coimbatore) Ltd.,3245,3116,3066,6.88,7.21,6.86,18948,18597,17709,5.18,5.12,5.11,180075.85,225081.87,209756.00,9021,8844.35,7601.93
30,TN STC (Kumbakonam) Ltd.,3718,3616,3589,7.01,7.86,7.06,23527,23099,21985,5.68,5.69,5.73,276075.91,269524.36,231117.27,10488,10179.26,8859.03
31,TN STC (Madurai) Ltd.,2593,2477,2262,6.46,7.21,7.46,15089,14880,14266,5.39,5.36,5.31,189145.61,183162.62,174056.37,6104,6121.07,5059.48
32,TN STC (Salem) Ltd.,2222,2222,2497,7.50,8.35,7.50,13516,13348,12743,5.58,5.64,5.64,177304.27,173191.32,151731.06,5562,5559.65,4622.79
