S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2018-19,Average Fleet Held (Number) - 2017-18,Average Fleet Held (Number) - 2016-17,Average Fleet Operated (Number) - 2018-19,Average Fleet Operated (Number) - 2017-18,Average Fleet Operated (Number) - 2016-17,Fleet Utilisation (%) - 2018-19,Fleet Utilisation (%) - 2017-18,Fleet Utilisation (%) - 2016-17,Avg Age of Fleet (Years) - 2018-19,Avg Age of Fleet (Years) - 2017-18,Avg Age of Fleet (Years) - 2016-17,Over aged vehicles (%) - 2018-19,Over aged vehicles (%) - 2017-18,Over aged vehicles (%) - 2016-17,Fuel Efficiency (Km per Kg of CNG) - 2018-19,Fuel Efficiency (Km per Kg of CNG) - 2017-18,Fuel Efficiency (Km per Kg of CNG) - 2016-17,Fuel Efficiency (Km per litre of HSD) - 2018-19,Fuel Efficiency (Km per litre of HSD) - 2017-18,Fuel Efficiency (Km per litre of HSD) - 2016-17,Effective Kilometres (Lakh) [Revenue Earning Kilometers (Lakh)] - 2018-19,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2017-18,Effective Kilometres (Lakh) [ Revenue Earning Kilometers (Lakh)] - 2016-17,Staff Strength (Number) - 2018-19,Staff Strength (Number) - 2017-18,Staff Strength (Number) - 2016-17,Staff/Bus Ratio - 2018-19,Staff/Bus Ratio - 2017-18,Staff/Bus Ratio - 2016-17,Staff Productivity (Kms/Staff/Day) - 2018-19,Staff Productivity (Kms/Staff/Day) - 2017-18,Staff Productivity (Kms/Staff/Day) - 2016-17,Vehicle Productivity (Kms/Bus/Day) - 2018-19,Vehicle Productivity (Kms/Bus/Day) - 2017-18,Vehicle Productivity (Kms/Bus/Day) - 2016-17,Passenger Kilometres Offered (Lakh) - 2018-19,Passenger Kilometres Offered (Lakh) - 2017-18,Passenger Kilometres Offered (Lakh) - 2016-17,Passenger KMS Performed (Lakh) - 2018-19,Passenger KMS Performed (Lakh) - 2017-18,Passenger KMS Performed (Lakh) - 2016-17,Occupancy Ratio (%) - 2018-19,Occupancy Ratio (%) - 2017-18,Occupancy Ratio (%) - 2016-17,Passengers Carried (Lakh) - 2018-19,Passengers Carried (Lakh) - 2017-18,Passengers Carried (Lakh) - 2016-17,Passengers carried per Bus/Day (Number) - 2018-19,Passengers carried per Bus/Day (Number) - 2017-18,Passengers carried per Bus/Day (Number) - 2016-17
11,Maharashtra SRTC,18796,18652,18710,16414,16424,16834,87.33,88.05,89.97,7.10,6.30,5.50,6.18,0.19,8.38,3.87,3.89,3.90,4.57,4.72,4.77,20377.97,20337.58,20661.17,101879.00,101196.00,103043.00,5.42,5.43,5.51,54.80,55.06,54.93,297.03,298.73,302.54,882977.00,881431.00,895662.00,610514.00,624445.00,615701.00,69.14,70.84,68.74,24078.48,24446.25,24438.41,350.97,359.08,357.85
12,Meghalaya STC,62,61,52,26,28,36,41.94,45.90,69.23,8.00,7.00,7.21,49.00,38.00,45.00,NA,NA,NA,5.01,5.12,5.40,24.73,23.93,28.67,221.00,251.00,260.00,3.56,4.11,5.00,30.66,26.12,30.21,109.28,107.48,151.05,692.44,670.04,774.09,440.78,409.09,457.27,63.66,61.05,59.07,2.52,2.17,3.88,11.14,9.75,20.44
13,North Bengal STC,905,868,805,733,713,675,80.99,82.14,83.85,6.48,6.48,6.29,39.00,41.00,45.00,NA,NA,NA,4.26,4.13,4.25,653.01,605.05,573.56,3300.00,3226.00,3709.00,3.65,3.72,4.61,54.21,51.38,42.37,197.69,190.98,195.20,26773.41,24807.05,24497.10,22964.26,19930.76,18655.12,85.77,80.34,76.15,0.00,0.00,0.00,0.00,0.00,0.00
14,North Eastern Karnataka RTC,4789,4501,4385,4134,4071,3969,86.33,90.45,90.52,4.63,4.91,5.64,26.00,25.08,24.02,NA,NA,NA,5.25,5.20,5.17,5160.90,5046.31,4853.05,20574.00,20218.00,20577.00,4.30,4.49,4.69,68.72,68.38,64.62,295.25,307.16,303.23,311202.27,307824.91,296036.05,182143.42,169419.03,158522.46,58.53,51.50,53.55,4945.75,4934.80,4927.50,282.95,300.37,307.88
15,North Western Karnataka RTC,4990,4999,4802,4711,4758,4570,94.40,95.17,95.16,7.31,6.59,6.60,42.60,33.60,26.10,NA,NA,NA,5.12,5.16,5.18,5890.17,6044.55,5854.09,23665.00,23707.00,24321.00,4.74,4.74,5.06,68.19,69.85,65.95,323.39,331.25,334.01,300399.00,308272.00,298559.00,193067.00,184318.00,174741.00,64.27,59.79,58.53,8205.20,8212.50,8256.30,450.49,450.05,471.06
16,Odisha SRTC,441,443,455,413,402,379,93.65,90.74,83.30,5.12,4.82,9.00,5.00,5.00,11.00,NA,NA,NA,4.81,4.74,4.72,343.72,342.38,339.69,1538.00,1582.00,1651.00,3.49,3.57,3.63,61.23,59.29,56.37,213.54,211.74,204.54,13086.55,13048.96,19169.80,12201.57,12154.49,17663.88,93.24,93.15,92.14,71.70,70.89,71.21,44.54,43.84,42.88
17,Pepsu RTC,1138,1142,1067,1138,1142,1067,100.00,100.00,100.00,8.00,8.00,8.00,29.00,20.00,25.00,NA,NA,NA,4.69,4.68,4.65,1529.65,1359.21,1259.85,4247.00,4149.00,3658.00,3.73,3.63,3.43,98.68,89.75,94.36,368.26,326.08,323.49,1299.40,1299.40,1302.96,1300.00,1300.00,1300.00,100.05,100.05,99.77,0.28,0.28,0.27,0.07,0.07,0.07
18,Rajasthan SRTC,5295,5444,4635,3798,4368,4051,71.73,80.24,87.40,6.31,5.43,5.26,35.81,28.02,19.63,NA,NA,NA,5.03,5.10,5.06,5437.74,6184.81,5810.25,15279.00,16565.00,17844.00,2.89,3.04,3.85,97.51,102.29,89.21,281.36,311.25,343.44,304541.86,324339.33,305502.26,266449.26,303055.69,284702.25,87.49,93.44,93.19,3106.89,3420.77,3184.50,160.76,172.15,188.23
19,South Bengal STC,898,796,721,726,606,470,80.85,76.13,65.19,6.24,5.65,5.43,24.52,16.58,5.55,4.79,4.94,4.90,4.59,4.02,4.29,649.50,526.67,471.45,2793.00,2316.00,2042.00,3.11,2.91,2.83,63.71,62.30,63.25,198.16,181.27,179.15,32475.00,26333.50,23572.50,26304.75,21356.50,18234.53,81.00,81.10,77.36,214.00,172.00,148.00,65.29,59.20,56.24
20,Telangana SRTC,10481,10558,10415,10456,10531,10399,99.76,99.74,99.85,7.66,6.90,7.44,26.05,20.58,21.05,NA,NA,NA,NA,NA,NA,13088.44,13191.92,12727.13,50656.00,52507.00,54117.00,4.83,4.97,5.20,70.79,68.83,64.43,342.13,342.32,334.79,648401.32,654929.18,636738.31,474111.04,456223.67,432217.97,73.12,70.36,65.99,35605.75,34291.75,31893.70,930.73,889.85,838.98
21,Tripura RTC,10,14,16,10,14,16,100.00,100.00,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69,1.76,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Uttar Pradesh SRTC (P),11880,12143,10780,11615,11862,10526,97.77,97.69,97.64,5.70,5.43,4.53,12.13,7.65,8.26,4.68,4.64,4.59,5.23,5.25,5.24,14497.28,14934.11,13517.38,21156.00,22633.00,23487.00,1.78,1.86,2.18,187.74,180.78,157.68,334.33,336.95,343.54,694180.00,721887.00,655482.00,472042.00,483664.00,445728.00,68.00,67.00,68.00,6015.69,6257.93,5645.91,138.73,141.19,143.49
23,Uttarakhand  TC,1338,1297,1242,1264,1238,1185,94.47,95.45,95.41,7.50,6.50,6.50,29.30,23.00,10.00,NA,NA,NA,NA,4.85,4.76,1438.26,1552.42,1396.65,3450.00,4339.00,4506.00,2.58,3.35,3.63,114.22,98.02,84.92,294.50,327.93,308.09,1589.53,1729.43,1621.66,1438.26,1552.42,1396.65,90.48,89.76,86.12,377.83,405.54,368.22,77.37,85.66,81.23
24,West Bengal Transport Corp.,1187,1153,831,783,772,720,65.96,66.96,86.64,4.57,3.73,5.77,10.80,10.49,5.53,NA,NA,NA,1.94,1.97,2.04,282.00,281.00,291.00,4018.00,4361.00,4647.00,3.39,3.78,5.59,19.23,17.65,17.16,65.09,66.77,95.94,11768.00,9543.00,14125.00,8898.00,8249.00,8272.00,75.61,86.44,58.56,1023.00,947.00,986.00,236.12,225.02,325.07
NA,TOTAL Corporations,112706,111372,108594,100759,100979,98611,89.40,90.67,90.81,6.96,6.43,6.78,27.96,22.91,20.25,4.08,4.07,3.48,4.51,4.50,4.53,121961.86,122577.13,120228.32,493682.00,505795.00,517482.00,4.38,4.54,4.77,67.68,66.40,63.65,296.47,301.54,303.33,5945101.89,5982685.69,5935840.61,4314977.21,4278766.01,4084887.56,72.58,71.52,68.82,161889.00,163720.11,161655.62,393.53,402.75,407.84
25,Kadamba TC Ltd.,548,520,530,414,376,361,75.55,72.31,68.11,4.19,5.61,5.16,6.25,9.14,5.16,NA,NA,NA,4.07,4.10,4.13,345.49,307.12,298.98,2153.00,2077.00,2023.00,3.93,3.99,3.82,43.96,40.51,40.49,172.73,161.81,154.55,20384.19,18120.27,17639.74,11627.98,10620.32,9386.34,57.04,58.61,53.21,387.60,354.01,342.02,193.78,186.52,176.80
26,Metro TC (Chennai) Limited,3688,3848,4002,2972,3058,3242,80.59,79.47,81.01,8.67,7.96,7.08,79.42,78.29,74.92,NA,NA,NA,4.51,4.50,4.50,3108.72,3223.28,3483.94,22962.00,23688.00,24326.00,6.23,6.16,6.08,37.09,37.28,39.24,230.94,229.49,238.51,217610.00,225630.00,243876.00,135246.00,165039.00,189176.00,62.15,73.15,77.57,12980.00,15186.00,17184.00,964.25,1081.22,1176.40
27,PUNBUS,1395,1258,1218,1280,1150,1140,91.76,91.41,93.60,7.00,7.00,7.00,0.00,0.00,0.00,NA,NA,NA,4.60,4.62,4.54,1653.45,1547.60,1461.21,3850.00,4098.00,4108.00,2.76,3.26,3.37,117.66,103.47,97.45,324.73,337.04,328.68,1569.50,1547.60,1460.00,1533.00,1481.90,1361.45,97.67,95.75,93.25,1642.50,1551.25,1500.15,322.58,337.84,337.44
28,State Exp.TC TN Ltd.,1149,1167,1184,988,1032,1058,85.99,88.43,89.36,6.03,6.02,5.03,89.59,78.22,78.73,NA,NA,NA,5.17,5.23,5.24,2134.04,2256.00,2332.53,5495.00,5910.00,6349.00,4.78,5.06,5.36,106.40,104.58,100.65,508.85,529.63,539.74,89006.77,95612.12,97999.75,61405.19,76844.09,81315.46,68.99,80.37,82.98,229.14,265.22,272.70,54.64,62.26,63.10
29,TN STC (Coimbatore) Ltd.,3066,3116,3245,2916,2982,3129,95.11,95.70,96.43,6.86,7.21,6.88,52.91,45.40,51.80,NA,NA,NA,5.11,5.12,5.18,4280.50,4338.21,4715.37,17709.00,18597.00,18948.00,5.78,5.97,5.84,66.22,63.91,68.18,382.50,381.43,398.11,309328.00,311164.89,343752.50,209756.00,225081.87,180075.85,67.81,72.34,52.39,7601.93,8844.35,9021.21,679.30,777.63,761.65
30,TN STC (Kumbakonam) Ltd.,3589,3616,3718,3215,3299,3462,89.58,91.23,93.11,7.06,7.86,7.01,65.57,69.10,64.77,NA,NA,NA,5.73,5.69,5.68,5906.11,5941.11,6215.07,21985.00,23099.00,23527.00,6.13,6.39,6.33,73.60,70.47,72.37,450.85,450.14,457.98,374223.14,374334.52,390318.93,231117.27,269524.36,276075.91,61.76,72.00,70.73,8859.03,10179.26,10488.33,676.27,771.25,772.87
31,TN STC (Madurai) Ltd.,2262,2477,2593,2166,2166,2298,95.76,87.44,88.62,7.46,7.21,6.46,69.00,72.00,68.00,NA,NA,NA,5.31,5.36,5.39,3625.93,3745.80,3972.13,14266.00,14880.00,15089.00,6.31,6.01,5.82,69.63,68.97,72.12,439.17,414.31,419.69,252294.99,256831.20,270332.27,174056.37,183162.62,189145.61,68.99,71.32,69.97,5059.48,6121.07,6103.96,612.80,677.03,644.94
32,TN STC (Salem) Ltd.,2497,2222,2222,1970,1997,2089,78.89,89.87,94.01,7.50,8.35,7.50,65.48,67.55,68.00,NA,NA,NA,5.64,5.64,5.58,3445.86,3526.31,3785.94,12743.00,13348.00,13516.00,5.10,6.01,6.08,74.09,72.38,76.74,378.08,434.79,466.81,220237.86,225612.58,241635.67,151731.06,173191.32,177304.27,68.89,76.76,73.38,4622.79,5559.65,5562.03,507.22,685.50,685.80
33,TN STC (Villupuram) Ltd.,3437,3502,3596,3132,3209,3406,91.13,91.63,94.72,6.96,7.77,7.00,62.00,65.00,63.00,NA,NA,NA,5.60,5.61,5.61,5920.23,6091.91,6413.27,22412.00,23361.00,24094.00,6.52,6.67,6.70,72.37,71.44,72.93,471.92,476.59,488.62,372234.60,395827.43,405126.44,251291.00,290099.00,299523.00,67.51,73.29,73.93,7061.16,8858.07,7819.38,562.86,693.00,595.74
34,TN STC ( Tirunelvell) Ltd.,1775,1839,1897,1676,1681,1756,94.42,91.41,92.57,7.09,6.95,6.35,70.87,61.39,55.72,NA,NA,NA,5.19,5.16,5.15,2688.22,2714.47,2864.09,11085.00,11620.00,11839.00,6.25,6.32,6.24,66.44,64.00,66.28,414.93,404.40,413.64,176380.22,178059.88,187438.14,112541.10,138569.95,140364.42,63.81,77.82,74.89,5578.28,6352.40,6672.74,861.01,946.37,963.70
NA,TOTAL Companies,23406,23565,24205,20729,20950,21941,88.56,88.90,90.65,6.88,7.19,6.55,56.11,54.61,53.01,NA,NA,NA,5.09,5.10,5.10,33108.55,33691.81,35542.53,134660.00,140678.00,143819.00,5.75,5.97,5.94,67.36,65.62,67.71,387.54,391.71,402.30,2033269.27,2082740.49,2199579.44,1340304.97,1533614.43,1543728.31,65.92,73.63,70.18,54021.91,63271.28,64966.52,632.34,735.61,735.35
35,Andaman & Nicobar ST,284,284,268,257,257,247,90.49,90.49,92.16,9.14,8.65,7.48,19.01,16.90,14.00,NA,NA,NA,3.65,3.57,3.65,105.58,106.17,106.45,1166.00,1162.00,1151.00,4.11,4.09,4.29,24.81,24.96,25.34,101.85,102.42,108.82,5912.24,5945.28,5961.36,214.89,192.63,174.22,3.63,3.24,2.92,121.12,111.62,108.02,116.84,107.38,110.43
36,Arunachal Pradesh ST,237,219,192,202,184,157,85.23,84.02,81.77,12.14,10.03,9.32,92.40,87.67,54.00,NA,NA,NA,NA,NA,NA,93.13,90.09,80.26,791.00,790.00,796.00,3.34,3.61,4.15,32.26,31.16,27.62,107.66,112.70,114.53,90.90,79.17,75.23,93.13,90.09,80.26,102.45,113.79,106.69,0.00,0.00,0.00,0.00,0.00,0.00
37,Chandigarh TU,534,550,565,462,459,476,86.52,83.45,84.25,4.74,5.08,5.85,22.70,24.00,26.00,NA,NA,NA,3.86,3.74,3.76,404.95,419.20,440.78,1965.00,1917.00,1779.00,3.68,3.49,3.15,56.46,59.75,67.88,207.76,208.82,213.74,14173.00,15510.40,16308.86,12149.00,13414.40,14104.96,85.72,86.49,86.49,554.80,568.10,568.78,284.64,282.22,275.81
38,Haryana ST,3951,4063,4145,3547,3629,3771,89.77,89.32,90.98,5.11,4.75,4.37,6.00,5.00,2.00,3.35,3.17,3.26,4.73,4.74,4.75,4053.07,4299.96,4601.87,19663.00,16004.00,16968.00,4.98,3.94,4.09,56.47,73.41,74.30,281.05,289.95,304.17,202654.00,214998.00,230094.00,142586.00,145915.00,158216.00,70.36,67.87,68.76,4286.16,3993.74,4458.81,297.21,268.57,294.71
39,Mizoram ST,37,42,49,18,19,23,48.65,45.24,46.94,8.00,7.00,8.00,22.00,21.00,16.00,NA,NA,NA,3.20,3.20,3.20,6.98,6.84,7.08,262.00,287.00,333.00,7.08,6.83,6.80,7.30,6.51,5.83,51.68,44.62,39.59,167.52,164.16,169.92,153.43,115.36,127.89,91.59,70.27,75.26,0.66,0.52,0.56,4.89,3.38,3.13
40,Nagaland ST,250,249,216,116,104,103,46.40,41.77,47.69,7.78,7.78,7.78,73.00,73.00,73.00,NA,NA,NA,3.22,3.19,3.30,43.70,43.68,42.39,1050.00,1050.00,1050.00,4.20,4.22,4.86,11.40,11.37,11.06,47.89,48.06,53.77,26.59,25.64,33.60,25.75,24.67,32.45,96.84,96.22,96.58,5.72,4.70,5.96,6.27,5.16,7.56
41,State Transport Punjab,476,602,605,400,550,605,84.03,91.36,100.00,7.00,7.00,7.00,NA,NA,NA,NA,NA,NA,4.54,4.52,NA,247.56,347.37,0.00,2713.00,2943.00,0.00,5.70,4.89,0.00,25.00,32.25,0.00,142.49,158.09,NA,339.45,423.40,NA,248.20,350.40,0.00,73.12,82.76,0.00,547.50,602.25,0.00,315.13,273.34,0.00
42,Sikkim NT ,120,122,122,108,100,101,90.00,81.97,82.79,6.95,7.81,6.38,24.16,20.49,31.90,NA,NA,NA,3.80,3.72,4.12,26.74,26.50,24.99,1313.00,798.00,680.00,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,6.54,5.57,5.58,9.07,10.07,61.05,59.51,56.12,828.94,821.50,774.70,588.28,583.00,549.78,70.97,70.97,70.97,12.22,11.31,11.42,27.90,25.33,25.65
NA,Total Govt Deptts.,5889,6131,6162,5110,5302,5483,86.77,86.48,88.98,7.61,7.26,7.02,37.04,35.44,30.99,3.35,3.17,3.26,3.86,3.81,3.80,4981.71,5339.81,5303.82,28923.00,24951.00,22757.00,4.91,4.07,3.69,47.19,58.63,63.85,231.76,238.62,235.82,224192.64,237967.55,253417.67,156058.68,160685.55,173285.56,69.61,67.52,68.38,5528.18,5292.24,5153.55,257.19,236.49,229.14
43,Ahemdabad Janmarg Ltd,253,254,250,214,209,210,84.58,82.28,84.00,6.50,5.50,4.50,15.00,15.00,0.00,2.30,NA,NA,2.10,2.30,2.50,172.03,170.13,178.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.29,183.51,195.15,164.07,162.32,170.96,161.07,158.24,169.15,98.17,97.49,98.94,519.75,459.16,451.33,562.84,495.26,494.61
44,Ahmedabad MTC ,754,866,910,661,685,775,87.67,79.10,85.16,3.98,3.35,5.30,0.17,0.10,0.18,3.24,3.33,NA,NA,NA,3.22,452.71,479.44,510.73,5102.00,5327.00,5365.00,6.77,6.15,5.90,24.31,24.66,26.08,164.50,151.68,153.76,17875.83,20647.92,24636.26,15083.09,14058.77,16282.48,84.38,68.09,66.09,1954.36,1806.97,2094.22,710.13,571.66,630.50
45,BEST Undertaking,3322,3661,3844,2865,3058,3267,86.24,83.53,84.99,10.46,9.79,9.51,0.00,0.00,0.00,2.83,2.81,2.87,2.67,2.67,2.67,1690.00,1894.00,2138.00,29045.00,30971.00,32590.00,8.74,8.46,8.48,15.94,16.75,17.97,139.38,141.74,152.38,108862.00,122945.00,139463.00,53000.00,63816.00,70275.00,48.69,51.91,50.39,8068.00,9563.00,10343.00,665.39,715.65,737.17
46,Kolhapur MTU,129,129,129,96,105,107,74.42,81.40,82.95,7.11,6.55,7.60,41.86,30.23,42.00,NA,NA,NA,3.77,3.80,3.98,77.52,84.54,86.51,815.00,881.00,944.00,6.32,6.83,7.32,26.06,26.29,25.11,164.64,179.55,183.73,3720.96,4057.87,4152.69,2796.07,3120.47,2953.78,75.14,76.90,71.13,190.03,231.80,221.59,403.59,492.30,470.62
47,Navi Mumbai MT,391,386,336,356,347,309,91.05,89.90,91.96,NA,NA,NA,NA,NA,NA,3.85,3.90,3.95,2.95,3.00,3.10,319.48,312.56,310.95,1116.00,1138.00,1166.00,2.85,2.95,3.47,78.43,75.25,73.06,223.86,221.85,253.55,404.29,427.68,380.33,222.30,219.67,203.86,54.99,51.36,53.60,518.41,515.33,485.07,363.25,365.77,395.52
48,Pune Mahamandal ,2058,1961,2045,1373,1425,1380,66.72,72.67,67.48,8.08,8.07,9.02,9.03,10.20,6.61,2.90,3.03,3.06,3.31,3.10,3.14,1036.96,1121.31,1093.30,9587.00,9311.00,9656.00,4.66,4.75,4.72,29.63,32.99,31.02,138.05,156.66,146.47,55022.11,60577.92,59859.97,43041.50,45186.54,41496.51,78.23,74.59,69.32,3725.08,3975.61,3939.17,495.90,555.44,527.74
49,Sholapur MT,50,75,90,31,36,59,62.00,48.00,65.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.94,39.42,63.51,315.00,433.00,469.00,6.30,5.77,5.21,29.52,24.94,37.10,185.97,144.00,193.33,29.41,34.16,55.04,23.80,31.69,50.49,80.92,92.77,91.73,46.07,80.74,110.82,252.44,294.94,337.35
50,Thane MT,473,482,393,277,285,195,58.56,59.13,49.62,5.00,6.00,7.00,0.62,59.12,52.10,2.55,2.48,2.60,2.07,2.05,2.15,204.45,204.93,122.56,2898.00,2977.00,2995.00,6.13,6.18,7.62,19.33,18.86,11.21,118.42,116.48,85.44,12675.90,12500.73,6906.89,0.00,0.00,0.00,0.00,0.00,0.00,644.85,641.20,470.03,373.51,364.46,327.67
